File,Energy (Hartree),Rel Energy (kcal),Iterations,Mulliken Q,Hirshfeld Q,Success?,Imaginaries?,X-Cu Distance
CuII-tBuBox-OTf_c0.out,-2084.6727,2.30,5,0.5926,0.6420,1,--,3.06
CuII-tBuBox-OTf_c1.out,-2084.6714,3.10,4,0.6135,0.6421,1,--,3.21
CuII-tBuBox-OTf_c10.out,-2084.6764,0.00,7,0.5558,0.6258,1,--,2.94
CuII-tBuBox-OTf_c12.out,-2084.6753,0.66,15,0.5927,0.6387,1,--,3.05
CuII-tBuBox-OTf_c14.out,-2084.6737,1.69,13,0.6016,0.6305,1,--,3.01
CuII-tBuBox-OTf_c16.out,-2084.6167,37.45,3,0.9253,0.8842,1,--,7.93
CuII-tBuBox-OTf_c18.out,-2084.6757,0.43,4,0.5466,0.6138,1,--,2.94
CuII-tBuBox-OTf_c19.out,-2084.6728,2.22,3,0.6278,0.6494,1,--,3.01
CuII-tBuBox-OTf_c2.out,-2084.6762,0.13,35,0.5951,0.6286,1,--,3.03
CuII-tBuBox-OTf_c20.out,-2084.6763,0.06,3,0.5592,0.6239,1,--,2.88
CuII-tBuBox-OTf_c21.out,-2084.6715,3.02,4,0.6297,0.6550,1,--,3.03
CuII-tBuBox-OTf_c22.out,-2084.6714,3.09,5,0.6135,0.6421,1,--,3.21
CuII-tBuBox-OTf_c23.out,-2084.6753,0.69,13,0.5614,0.6204,1,--,3.09
CuII-tBuBox-OTf_c24.out,-2084.6693,4.43,4,0.5444,0.6308,1,--,3.04
CuII-tBuBox-OTf_c3.out,-2084.6738,1.63,1,0.5558,0.6434,1,--,3.03
CuII-tBuBox-OTf_c4.out,-2084.6227,33.66,1,0.9743,0.9026,1,--,7.65
CuII-tBuBox-OTf_c5.out,-2084.6728,2.26,31,0.5873,0.6412,1,--,3.06
CuII-tBuBox-OTf_c6.out,-2084.6438,20.43,7,0.7917,0.8347,1,--,3.93
CuII-tBuBox-OTf_c7.out,-2084.6735,1.81,6,0.5717,0.6155,1,--,3.02
CuII-tBuBox-OTf_c8.out,-2084.6735,1.77,92,0.6025,0.6283,1,--,3.01
CuII-tBuBox-OTf_c9.out,-2084.6712,3.27,7,0.6029,0.6386,1,--,3.19
CuII-tBuBox-SbF6_c0.out,-1727.8394,0.94,30,0.6891,0.6864,1,--,3.32
CuII-tBuBox-SbF6_c10.out,-1727.8395,0.87,90,0.7498,0.6903,1,--,3.37
CuII-tBuBox-SbF6_c11.out,-1727.8349,3.75,5,0.6648,0.6786,1,--,3.51
CuII-tBuBox-SbF6_c12.out,-1727.8394,0.91,39,0.6921,0.6430,1,--,3.19
CuII-tBuBox-SbF6_c14.out,-1727.7953,28.62,22,0.9442,0.9033,1,--,6.37
CuII-tBuBox-SbF6_c15.out,-1727.8042,23.01,7,0.8800,0.8693,1,--,4.82
CuII-tBuBox-SbF6_c17.out,-1727.8304,6.54,75,0.7310,0.7257,1,--,3.39
CuII-tBuBox-SbF6_c2.out,-1727.7862,34.30,5,0.9592,0.8895,1,--,6.82
CuII-tBuBox-SbF6_c20.out,-1727.8395,0.84,6,0.7375,0.6973,1,--,3.39
CuII-tBuBox-SbF6_c22.out,-1727.7910,31.29,1,0.9751,0.9109,1,--,7.14
CuII-tBuBox-SbF6_c23.out,-1727.8364,2.77,17,0.7455,0.7037,1,--,3.42
CuII-tBuBox-SbF6_c24.out,-1727.8393,0.96,18,0.6893,0.6869,1,--,3.32
CuII-tBuBox-SbF6_c4.out,-1727.8409,0.00,122,0.7032,0.6724,1,--,3.28
CuII-tBuBox-SbF6_c5.out,-1727.8390,1.16,11,0.7065,0.6903,1,--,3.35
CuII-tBuBox-SbF6_c6.out,-1727.8388,1.31,49,0.7242,0.6967,1,--,3.39
CuII-tBuBox-SbF6_c7.out,-1727.8358,3.19,4,0.7227,0.7039,1,--,3.43
Cu2-tBu2BOX-dication.out,-1123.0221,0.00,5,0.9757,0.8955,2,--,0.00
OTf_anion.out,-961.5728,0.00,8,0.0000,0.0000,2,--,0.00
SbF6_anion.out,-604.7326,0.00,2,0.0000,0.0000,2,--,0.00
